"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
499,0,0.572303529618164,0.0372139240673252,0.0308326336754045,0.496074261784431,0.648532797451901,0.957,0.458,0.0214,0.0216,0.494951182471888,0.646222664307039,0.959,0.4444,0.0192,0.0218
500,0,0.572123549810737,0.0371099363308148,0.0296549858110305,0.496107291199132,0.648139808422346,0.9532,0.4606,0.0222,0.0246,0.494997997836616,0.645853862075457,0.9562,0.4498,0.0192,0.0246
501,0,0.572988227418875,0.0262564223211189,0.0272462558449779,0.519204384418303,0.626772070419448,0.9476,0.7494,0.0252,0.0272,0.518544633334519,0.62568726502927,0.9492,0.7442,0.0228,0.028
502,0,0.572278374065775,0.0262697525676155,0.0273728790049594,0.518467225293079,0.626089522838476,0.9404,0.7342,0.029,0.0306,0.517814852370199,0.625010602361643,0.9428,0.7302,0.0256,0.0316
503,0,0.573331940463902,0.026282290313064,0.027394088299583,0.519495109283884,0.627168771643916,0.9502,0.7486,0.0264,0.0234,0.518829938311596,0.626076581523,0.9512,0.743,0.0244,0.0244
504,0,0.572921228427745,0.026192291252488,0.0270096406381104,0.51926875196617,0.626573704889324,0.9436,0.7504,0.0274,0.029,0.51861505054646,0.625496608250915,0.9456,0.7456,0.0242,0.0302
505,4e-04,0.573360665461929,0.0284959001245755,0.0281905695822898,0.516065818221667,0.630655512702188,0.946978791516607,0.711884753901561,0.0272108843537415,0.0258103241296519,0.515331840484663,0.629420937797938,0.948179271708683,0.704281712685074,0.0256102440976391,0.0262104841936775
506,2e-04,0.573630559069463,0.0285247070620408,0.0283165829148096,0.516277791599472,0.630983326539448,0.953990798159632,0.711342268453691,0.0238047609521904,0.0222044408881776,0.515535648249685,0.629740002822739,0.955391078215643,0.703540708141628,0.0216043208641728,0.023004600920184
507,2e-04,0.573020101816155,0.0284398835202206,0.0279747413764229,0.515837883507615,0.630202320124694,0.945589117823565,0.709141828365673,0.0258051610322064,0.0286057211442288,0.515108826339966,0.628976041297219,0.946989397879576,0.701740348069614,0.0234046809361872,0.0296059211842368
508,2e-04,0.573133333229064,0.0285621106777926,0.0286762692631955,0.515705360749181,0.630561305708943,0.95379075815163,0.702740548109622,0.0242048409681936,0.022004400880176,0.51496841179871,0.629320926993821,0.954790958191638,0.695539107821564,0.0218043608721744,0.0234046809361872
509,0,0.572761406421099,0.0203059242040577,0.0268329358645202,0.531933609430737,0.613589203411462,0.9488,0.9338,0.0254,0.0258,0.531525775099245,0.61299883087884,0.9494,0.9322,0.0238,0.0268
510,0,0.573022674604643,0.020383605168617,0.0273531339534351,0.532038689566931,0.614006659642353,0.9504,0.9332,0.0228,0.0268,0.531626317081264,0.613409492927399,0.9502,0.9318,0.0216,0.0282
511,4e-04,0.572727874108195,0.0203153862865417,0.0267783111272674,0.531881052325911,0.613574695890478,0.94577831132453,0.930772308923569,0.0268107242897159,0.0274109643857543,0.531473993561105,0.612984862758125,0.94717887154862,0.929571828731493,0.023609443777511,0.0292116846738695
512,0,0.572562453099834,0.0203729234104875,0.0271740276689862,0.531599945176292,0.613524961023375,0.9518,0.9378,0.02,0.0282,0.531190161411636,0.612930727201244,0.9514,0.9364,0.0194,0.0292
513,0,0.577102516928762,0.0677412315623383,0.0426640820087374,0.420890956822188,0.733314077035339,0.969,0.1504,0.0196,0.0114,0.418659310028135,0.720633704559766,0.9788,0.125,0.0102,0.011
514,0,0.57616388085174,0.0679430830714145,0.0430758357828582,0.41948685033054,0.73284091137294,0.9662,0.1508,0.0218,0.012,0.417343341577691,0.72019708375366,0.9766,0.1218,0.0124,0.011
515,0,0.575094900771579,0.0678089087743439,0.0425510762215231,0.41872727673426,0.7314625248089,0.9672,0.1392,0.019,0.0138,0.416684859383014,0.718958281929065,0.9762,0.1154,0.0114,0.0124
516,0,0.574818293419857,0.0677528848952309,0.0425315985067563,0.41857986067944,0.731056726160271,0.967,0.137,0.0176,0.0154,0.416431456727356,0.718538468536089,0.9758,0.1116,0.0096,0.0146
517,0,0.576823275355188,0.0468169353358242,0.0323801199411925,0.468863228873189,0.684783321837184,0.9624,0.2964,0.0208,0.0168,0.466998875550964,0.679198255731436,0.9656,0.2752,0.0168,0.0176
518,0,0.576040924693403,0.0471708481720147,0.0331440470553371,0.46726475374765,0.684817095639155,0.9562,0.2864,0.0234,0.0204,0.465414440010922,0.67916011064799,0.9604,0.2698,0.0188,0.0208
519,0,0.577222093491147,0.0470220754536756,0.0327725955427455,0.468788993049089,0.685655193933203,0.9546,0.2956,0.0278,0.0176,0.46690562188709,0.680005346269742,0.9594,0.2756,0.0226,0.018
520,0,0.577360733418876,0.0467847195088097,0.0321787701747031,0.469474976767191,0.685246490070559,0.949,0.3002,0.0278,0.0232,0.467570159440639,0.679656197155833,0.9524,0.2816,0.024,0.0236
521,0,0.576177021750135,0.0464516761604207,0.0356922690410501,0.478585671498568,0.673768372001702,0.9592,0.3442,0.0214,0.0194,0.476883543753446,0.669561225169599,0.9618,0.3248,0.0184,0.0198
